Name,Group,Measured,Modelled,Residual,Weight
mod_obs0_1,mod_group,53750,56907.8,-3157.85,1
mod_obs0_2,mod_group,213280,162270,51010.2,1
mod_obs0_3,mod_group,44550,34566.8,9983.25,1
mod_obs0_4,mod_group,5.8,0.00207706,5.79792,1
mod_obs0_5,mod_group,0,3278.13,-3278.13,1
mod_obs0_6,mod_group,18,0.0127023,17.9873,1
mod_obs0_7,mod_group,1.5,0.0025619,1.49744,1
mod_obs1_1,mod_group,174,1806.85,-1632.85,1
mod_obs1_2,mod_group,2570,5726.73,-3156.73,1
mod_obs1_3,mod_group,999999,959.416,999040,0
mod_obs1_4,mod_group,999999,0.00322968,999999,0
mod_obs1_5,mod_group,999999,116.404,999883,0
mod_obs1_6,mod_group,999999,0.0197942,999999,0
mod_obs1_7,mod_group,999999,0.00399236,999999,0
mod_obs2_1,mod_group,221,1173.64,-952.641,1
mod_obs2_2,mod_group,4650,4272.04,377.96,1
mod_obs2_3,mod_group,999999,550.767,999448,0
mod_obs2_4,mod_group,999999,0.00558041,999999,0
mod_obs2_5,mod_group,999999,120.963,999878,0
mod_obs2_6,mod_group,999999,0.0339628,999999,0
mod_obs2_7,mod_group,999999,0.00680318,999999,0
mod_obs3_1,mod_group,747,940.806,-193.806,1
mod_obs3_2,mod_group,14700,3953.08,10746.9,1
mod_obs3_3,mod_group,999999,411.813,999587,0
mod_obs3_4,mod_group,999999,0.0066351,999999,0
mod_obs3_5,mod_group,999999,119.838,999879,0
mod_obs3_6,mod_group,999999,0.0387867,999999,0
mod_obs3_7,mod_group,999999,0.00750118,999999,0
mod_obs4_1,mod_group,230,789.923,-559.923,1
mod_obs4_2,mod_group,3420,3710.3,-290.296,1
mod_obs4_3,mod_group,999999,350.67,999648,0
mod_obs4_4,mod_group,999999,0.00752786,999999,0
mod_obs4_5,mod_group,999999,116.377,999883,0
mod_obs4_6,mod_group,999999,0.0428465,999999,0
mod_obs4_7,mod_group,999999,0.0080856,999999,0
mod_obs5_1,mod_group,695,640.087,54.9125,1
mod_obs5_2,mod_group,11600,3427.16,8172.84,1
mod_obs5_3,mod_group,999999,312.909,999686,0
mod_obs5_4,mod_group,999999,0.00868464,999999,0
mod_obs5_5,mod_group,999999,111.083,999888,0
mod_obs5_6,mod_group,999999,0.0480844,999999,0
mod_obs5_7,mod_group,999999,0.00883621,999999,0
mod_obs6_1,mod_group,124,544.278,-420.278,1
mod_obs6_2,mod_group,2350,3214.14,-864.143,1
mod_obs6_3,mod_group,999999,301.319,999698,0
mod_obs6_4,mod_group,999999,0.00965071,999999,0
mod_obs6_5,mod_group,999999,106.709,999892,0
mod_obs6_6,mod_group,999999,0.0524451,999999,0
mod_obs6_7,mod_group,999999,0.00945876,999999,0
mod_obs7_1,mod_group,363,455.105,-92.1048,1
mod_obs7_2,mod_group,6700,2982.72,3717.28,1
mod_obs7_3,mod_group,999999,300.091,999699,0
mod_obs7_4,mod_group,999999,0.0108098,999999,0
mod_obs7_5,mod_group,999999,101.822,999897,0
mod_obs7_6,mod_group,999999,0.0576675,999999,0
mod_obs7_7,mod_group,999999,0.0102021,999999,0
mod_obs8_1,mod_group,169,392.443,-223.443,1
mod_obs8_2,mod_group,3000,2792.7,207.301,1
mod_obs8_3,mod_group,999999,305.411,999694,0
mod_obs8_4,mod_group,999999,0.0118611,999999,0
mod_obs8_5,mod_group,999999,97.7885,999901,0
mod_obs8_6,mod_group,999999,0.0623999,999999,0
mod_obs8_7,mod_group,999999,0.0108739,999999,0
mod_obs9_1,mod_group,23.4,342.739,-319.339,1
mod_obs9_2,mod_group,287,2619.08,-2332.08,1
mod_obs9_3,mod_group,999999,313.847,999685,0
mod_obs9_4,mod_group,999999,0.012913,999999,0
mod_obs9_5,mod_group,999999,94.1169,999905,0
mod_obs9_6,mod_group,999999,0.0671358,999999,0
mod_obs9_7,mod_group,999999,0.0115451,999999,0
mod_obs10_1,mod_group,60.6,299.323,-238.723,1
mod_obs10_2,mod_group,1010,2444.39,-1434.39,1
mod_obs10_3,mod_group,999999,324.849,999674,0
mod_obs10_4,mod_group,999999,0.014074,999999,0
mod_obs10_5,mod_group,999999,90.4459,999909,0
mod_obs10_6,mod_group,999999,0.0723673,999999,0
mod_obs10_7,mod_group,999999,0.0122855,999999,0
mod_obs11_1,mod_group,377,265.204,111.796,1
mod_obs11_2,mod_group,5590,2286.37,3303.63,1
mod_obs11_3,mod_group,999999,336.385,999663,0
mod_obs11_4,mod_group,999999,0.0152273,999999,0
mod_obs11_5,mod_group,999999,87.1456,999912,0
mod_obs11_6,mod_group,999999,0.0775724,999999,0
mod_obs11_7,mod_group,999999,0.0130216,999999,0
mod_obs12_1,mod_group,202,238.232,-36.2323,1
mod_obs12_2,mod_group,3410,2143.99,1266.01,1
mod_obs12_3,mod_group,521,347.713,173.287,0.0019194
mod_obs12_4,mod_group,60,0.0163642,59.9836,0.0166667
mod_obs12_5,mod_group,15.1,84.1833,-69.0833,0.0662252
mod_obs12_6,mod_group,999999,0.0827154,999999,0
mod_obs12_7,mod_group,51.4,0.0137485,51.3863,1
mod_obs13_1,mod_group,335,216.432,118.568,1
mod_obs13_2,mod_group,5160,2014.13,3145.87,0.0001938
mod_obs13_3,mod_group,1290,358.603,931.397,0.0007752
mod_obs13_4,mod_group,55.5,0.0174952,55.4825,0.018018
mod_obs13_5,mod_group,1.9,81.4846,-79.5846,0.526316
mod_obs13_6,mod_group,999999,0.0878459,999999,0
mod_obs13_7,mod_group,18.3,0.0144737,18.2855,0.0546448
mod_obs14_1,mod_group,101,198.893,-97.8934,1
mod_obs14_2,mod_group,652,1897.46,-1245.46,1
mod_obs14_3,mod_group,1280,368.703,911.297,0.0007813
mod_obs14_4,mod_group,35.8,0.0185996,35.7814,0.027932
mod_obs14_5,mod_group,9.5,79.0564,-69.5564,0.105263
mod_obs14_6,mod_group,999999,0.0928722,999999,0
mod_obs14_7,mod_group,5.9,0.0151844,5.88482,0.169491
mod_obs15_1,mod_group,461,183.298,277.702,1
mod_obs15_2,mod_group,4060,1782.44,2277.56,1
mod_obs15_3,mod_group,2290,378.85,1911.15,0.0004367
mod_obs15_4,mod_group,75.3,0.0197828,75.2802,0.0132797
mod_obs15_5,mod_group,6.98,76.6525,-69.6725,0.143266
mod_obs15_6,mod_group,95.5,0.0982781,95.4017,0.0104712
mod_obs15_7,mod_group,10.8,0.0159493,10.7841,0.0925926
mod_obs16_1,mod_group,226,170.643,55.3572,1
mod_obs16_2,mod_group,1720,1679.8,40.2022,1
mod_obs16_3,mod_group,892,387.988,504.012,0.0011211
mod_obs16_4,mod_group,41.1,0.0209304,41.0791,0.024331
mod_obs16_5,mod_group,3.43,74.4926,-71.0626,0.291545
mod_obs16_6,mod_group,37.8,0.103544,37.6965,0.026455
mod_obs16_7,mod_group,7.07,0.0166952,7.0533,0.141398
mod_obs17_1,mod_group,442,159.888,282.112,1
mod_obs17_2,mod_group,6050,1585.01,4464.99,1
mod_obs17_3,mod_group,1920,396.435,1523.57,0.0005208
mod_obs17_4,mod_group,26.6,0.0220787,26.5779,0.0375939
mod_obs17_5,mod_group,4.01,72.4797,-68.4697,0.249377
mod_obs17_6,mod_group,69,0.108837,68.8912,0.0144928
mod_obs17_7,mod_group,9.58,0.017446,9.56255,0.104182
