iteration,_is_super,_lambda,_scale_factor,por,por_v_min,blahblah,airdiff,k_sat,brooks,p_air,conc_s_top,conc_s_bot,ctot_wt,theta_min,q_air_slab,q_air_vims,q_air_open,q_var
0,0,0.1,1,0.384843,0.169972,0.0149998,0.0971257,,0.1,12.0497,19.2449,10.8087,,0.120329,-5.41139,-2.00397,,
0,0,0.1,0.75,0.383632,0.157479,0.0149998,0.0960942,0.00014,0.375,12.0373,19.4337,10.1066,8.1,0.120246,-5.80854,-2.00298,1,1e-06
0,0,1,1,0.384853,0.169972,0.0149998,0.0971315,,0.1,12.0651,19.2381,10.7852,,0.120326,-6.80493,-2.00401,,
0,0,1,0.75,0.38364,0.157479,0.0149998,0.0960986,0.00014,0.375,12.0489,19.4286,10.0889,8.1,0.120244,-6.8537,-2.00301,1,1e-06
0,0,10,1,0.384875,0.167691,0.0149998,0.0972664,,0.1,11.998,19.2673,10.497,,0.120309,-6.95425,-2.0042,,
0,0,10,0.75,0.383656,0.155768,0.0149998,0.0961998,0.00014,0.375,11.9985,19.4505,9.87272,8.1,0.120232,-6.96569,-2.00315,1,1e-06
0,0,100,1,0.377984,0.156242,0.0150001,0.0993451,,0.1,12.0109,19.3449,8.59275,,0.120087,-6.9862,-2.01242,,
0,0,100,0.75,0.378488,0.147182,0.0150001,0.0977589,0.00014,0.375,12.0081,19.5087,8.44456,8.1,0.120065,-6.98965,-2.00931,1,1e-06
0,0,1000,1,0.375961,0.0557118,0.0149994,0.1,,1.13114,12.0007,19.0152,8.04597,,0.126111,-6.9914,-2.02689,,
0,0,1000,0.75,0.376971,0.0717839,0.0149995,0.09825,0.00014,1.14835,12.0005,19.2614,8.03447,8.1,0.124583,-6.99355,-2.02017,1,1e-06
1,0,0.1,1,0.39,0.0760475,0.0149978,0.1,,0.356997,9.03245,17.8787,13.2072,,0.1271,-5.42853,-2.03208,,
1,0,0.1,0.75,0.38649,0.0709636,0.0149982,0.1,0.00014,0.550532,9.77451,18.1628,11.9169,8.1,0.126853,-5.81925,-2.03078,1,1e-06
1,0,1,1,0.39,0.116171,0.0149977,0.1,,0.380608,11.8103,17.8628,13.2145,,0.12722,-6.76715,-2.03212,,
1,0,1,0.75,0.38649,0.101056,0.0149981,0.1,0.00014,0.568241,11.8579,18.1509,11.9223,8.1,0.126943,-6.82321,-2.03081,1,1e-06
1,0,10,1,0.39,0.11795,0.0149977,0.1,,0.387645,11.9913,17.8946,12.8363,,0.127211,-6.91621,-2.03212,,
1,0,10,0.75,0.38649,0.102391,0.0149981,0.1,0.00014,0.573518,11.9936,18.1748,11.6387,8.1,0.126936,-6.93501,-2.03082,1,1e-06
1,0,100,1,0.39,0.112664,0.0149978,0.1,,0.418042,12.0072,18.0779,10.7699,,0.127071,-6.95372,-2.03224,,
1,0,100,0.75,0.38649,0.0984262,0.0149982,0.1,0.00014,0.596316,12.0056,18.3122,10.0889,8.1,0.126831,-6.96314,-2.0309,1,1e-06
1,0,1000,1,0.376092,0.001,0.0149978,0.1,,1.06403,12.0016,17.4623,8.14726,,0.134613,-6.97799,-2.08171,,
1,0,1000,0.75,0.376059,0.014678,0.0149982,0.1,0.00014,1.08081,12.0014,17.8505,8.12193,8.1,0.132488,-6.98134,-2.06801,1,1e-06
2,0,0.1,1,0.379568,0.011,0.0149973,0.1,,0.935649,11.8038,17.1968,9.4709,,0.13492,-5.9565,-2.08271,,
2,0,0.1,0.75,0.378698,0.0085,0.0149974,0.1,0.00014,0.967745,11.8533,17.2632,9.13999,8.1,0.134843,-6.21187,-2.08246,1,1e-06
2,0,1,1,0.379669,0.011,0.0149973,0.1,,0.932003,11.7901,17.1834,9.50659,,0.134925,-6.85299,-2.08274,,
2,0,1,0.75,0.378774,0.0085,0.0149974,0.1,0.00014,0.965011,11.8429,17.2532,9.16676,8.1,0.134847,-6.88424,-2.08248,1,1e-06
2,0,10,1,0.378616,0.011,0.0149974,0.1,,0.97208,12.0008,17.2689,9.04992,,0.134841,-6.95895,-2.08243,,
2,0,10,0.75,0.377985,0.0085,0.0149975,0.1,0.00014,0.995069,12.001,17.3173,8.82425,8.1,0.134784,-6.96371,-2.08225,1,1e-06
2,0,100,1,0.378852,0.011,0.0149974,0.1,,0.967546,12.002,17.2784,8.7555,,0.134845,-6.96906,-2.08247,,
2,0,100,0.75,0.378162,0.0085,0.0149975,0.1,0.00014,0.991668,12.0019,17.3244,8.60344,8.1,0.134787,-6.9713,-2.08228,1,1e-06
2,0,1000,1,0.380331,0.011,0.0149973,0.1,,0.917765,12.002,17.2264,8.33531,,0.134725,-6.97395,-2.08287,,
2,0,1000,0.75,0.379271,0.0085,0.0149974,0.1,0.00014,0.954332,12.0019,17.2854,8.28829,8.1,0.134697,-6.97496,-2.08258,1,1e-06
3,0,0.1,1,0.380354,0.0134062,0.0149973,0.1,,0.826409,11.8308,16.4054,10.3433,,0.134761,-21,-2.08304,,
3,0,0.1,0.75,0.380348,0.0128047,0.0149973,0.1,0.00014,0.849248,11.8736,16.6107,9.84133,8.1,0.134752,-17.4935,-2.083,1,1e-06
3,0,1,1,0.39,0.0052592,0.014996,0.1,,0.746125,11.309,16.5802,12.069,,0.135511,-5.69794,-2.08553,,
3,0,1,0.75,0.387582,0.0066944,0.0149963,0.1,0.00014,0.789035,11.4822,16.7417,11.1356,8.1,0.135314,-6.01694,-2.08486,1,1e-06
3,0,10,1,0.39,0.0179946,0.0149959,0.1,,0.749989,12.0305,16.5563,11.9061,,0.135658,-6.82136,-2.08547,,
3,0,10,0.75,0.387582,0.016246,0.0149963,0.1,0.00014,0.791933,12.0234,16.7238,11.0134,8.1,0.135425,-6.85951,-2.08482,1,1e-06
3,0,100,1,0.39,0.0163383,0.0149959,0.1,,0.754359,12.0054,16.614,10.5793,,0.135632,-6.9439,-2.08532,,
3,0,100,0.75,0.387582,0.0150037,0.0149963,0.1,0.00014,0.795211,12.0046,16.7671,10.0183,8.1,0.135405,-6.95141,-2.08471,1,1e-06
3,0,1000,1,0.39,0.010967,0.014996,0.1,,0.763377,12.009,16.7061,8.7855,,0.135462,-6.95661,-2.08524,,
3,0,1000,0.75,0.387582,0.0109752,0.0149963,0.1,0.00014,0.801974,12.0072,16.8362,8.67295,8.1,0.135278,-6.96094,-2.08465,1,1e-06
4,0,0.1,1,0.380455,0.0110188,0.0149973,0.1,,0.736848,10.8125,15.6722,13.2951,,0.134788,2,-2.08328,,
4,0,0.1,0.75,0.380429,0.0116157,0.0149973,0.1,0.00014,0.759238,11.0671,15.8555,12.5572,8.1,0.134782,-3.75,-2.08322,1,1e-06
4,0,100,1,0.380199,0.112046,0.0149973,0.1,,0.1,11.396,11.3415,29.3938,,0.135086,-20.6719,-2.08387,,
4,0,100,0.75,0.380237,0.0873862,0.0149973,0.1,0.00014,0.281602,11.5047,12.6075,24.6312,8.1,0.135005,-20.7539,-2.08366,1,1e-06
4,0,1000,1,0.380399,0.0786564,0.0149973,0.1,,0.1,11.8273,11.387,14.7947,,0.134967,-20.9877,-2.0831,,
4,0,1000,0.75,0.380387,0.0623439,0.0149973,0.1,0.00014,0.281602,11.8282,12.6416,13.6819,8.1,0.134915,-20.9908,-2.08308,1,1e-06
5,0,0.1,1,0.380197,0.112118,0.0149973,0.1,,0.244312,11.396,10.4953,29.389,,0.0810575,-20.6719,-2.08387,,
5,0,0.1,0.75,0.380198,0.1121,0.0149973,0.1,0.00014,0.208234,11.396,10.7068,29.3902,8.1,0.0945646,-20.6719,-2.08387,1,1e-06
5,0,1,1,0.380197,0.112118,0.0149973,0.1,,0.244313,11.396,10.4953,29.389,,0.0810593,-20.6719,-2.08387,,
5,0,1,0.75,0.380198,0.1121,0.0149973,0.1,0.00014,0.208235,11.396,10.7068,29.3902,8.1,0.094566,-20.6719,-2.08387,1,1e-06
5,0,10,1,0.380197,0.112118,0.0149973,0.1,,0.244324,11.396,10.4953,29.389,,0.0810772,-20.6719,-2.08387,,
5,0,10,0.75,0.380198,0.1121,0.0149973,0.1,0.00014,0.208243,11.396,10.7068,29.3902,8.1,0.0945794,-20.6719,-2.08387,1,1e-06
5,0,100,1,0.380201,0.112062,0.0149973,0.1,,0.162209,11.396,11.3338,29.3938,,0.2,-20.6719,-2.08387,,
5,0,100,0.75,0.380201,0.112058,0.0149973,0.1,0.00014,0.146657,11.396,11.3357,29.3938,8.1,0.183771,-20.6719,-2.08387,1,1e-06
5,0,1000,1,0.380202,0.11206,0.0149973,0.1,,0.177904,11.396,11.2639,29.517,,0.2,-20.6719,-2.08387,,
5,0,1000,0.75,0.380201,0.112057,0.0149973,0.1,0.00014,0.158428,11.396,11.2833,29.4862,8.1,0.183771,-20.6719,-2.08387,1,1e-06
6,0,0.1,1,0.380214,0.112069,0.0149973,0.1,,0.201851,9.94608,10.6814,29.6181,,0.0949273,-21,-2.08389,,
6,0,0.1,0.75,0.38021,0.112076,0.0149973,0.1,0.00014,0.203449,10.3086,10.6877,29.5611,8.1,0.0948403,-20.918,-2.08389,1,1e-06
6,0,1,1,0.380228,0.112035,0.0149973,0.1,,0.202239,10.3389,10.6734,29.8988,,0.0942593,-21,-2.08392,,
6,0,1,0.75,0.380221,0.112051,0.0149973,0.1,0.00014,0.20374,10.6032,10.6817,29.7716,8.1,0.0943393,-20.918,-2.08391,1,1e-06
6,0,10,1,0.380401,0.111716,0.0149973,0.1,,0.192439,10.247,10.5279,33.2402,,0.090529,-21,-2.08418,,
6,0,10,0.75,0.380351,0.111812,0.0149973,0.1,0.00014,0.19639,10.5342,10.5727,32.2777,8.1,0.0915416,-20.918,-2.0841,1,1e-06
6,0,100,1,0.380533,0.111476,0.0149973,0.1,,0.19081,10.5292,9.99224,42.384,,0.0869777,-21,-2.0844,,
6,0,100,0.75,0.38045,0.111632,0.0149973,0.1,0.00014,0.195168,10.7459,10.1709,39.1355,8.1,0.0888781,-20.918,-2.08427,1,1e-06
6,0,1000,1,0.380208,0.112105,0.0149973,0.1,,0.225625,11.2895,10.2843,31.9091,,0.0926514,-20.7192,-2.08389,,
6,0,1000,0.75,0.380206,0.112104,0.0149973,0.1,0.00014,0.221279,11.3161,10.3899,31.2794,8.1,0.0931334,-20.7074,-2.08389,1,1e-06
7,0,0.1,1,0.380558,0.11144,0.0149973,0.1,,0.181377,8,9.95772,42.6465,,0.0885576,-20.7651,-2.08442,,
7,0,0.1,0.75,0.380551,0.111449,0.0149973,0.1,0.00014,0.183735,8.6323,9.96635,42.5809,8.1,0.0881626,-20.8238,-2.08442,1,1e-06
7,0,1,1,0.380603,0.111373,0.0149972,0.1,,0.179248,8,9.93748,43.1656,,0.0875988,-20.2377,-2.08447,,
7,0,1,0.75,0.380585,0.111399,0.0149973,0.1,0.00014,0.182139,8.6323,9.95117,42.9702,8.1,0.0874435,-20.4283,-2.08446,1,1e-06
7,0,10,1,0.38098,0.11093,0.0149972,0.1,,0.166256,8,9.78043,47.7165,,0.0824297,-20.3315,-2.08486,,
7,0,10,0.75,0.380867,0.111067,0.0149972,0.1,0.00014,0.172395,8.6323,9.83338,46.3833,8.1,0.0835667,-20.4986,-2.08474,1,1e-06
7,0,100,1,0.380882,0.11105,0.0149972,0.1,,0.176146,9.48367,9.57244,51.6284,,0.0824584,-20.6409,-2.08477,,
7,0,100,0.75,0.380794,0.111156,0.0149972,0.1,0.00014,0.179812,9.74505,9.67739,49.3173,8.1,0.0835882,-20.7307,-2.08468,1,1e-06
7,0,1000,1,0.380535,0.111481,0.0149973,0.1,,0.199316,10.4203,9.78651,43.8164,,0.0854169,-20.957,-2.08441,,
7,0,1000,0.75,0.380534,0.11148,0.0149973,0.1,0.00014,0.197189,10.4476,9.83794,43.4583,8.1,0.0858071,-20.9677,-2.08441,1,1e-06
8,0,0.1,1,0.380891,0.111036,0.0149972,0.1,,0.171133,8,9.55467,51.7215,,0.0838656,-20.7458,-2.08478,,
8,0,0.1,0.75,0.380889,0.111039,0.0149972,0.1,0.00014,0.172386,8.37092,9.55912,51.6983,8.1,0.0835138,-20.7196,-2.08478,1,1e-06
8,0,1,1,0.380905,0.111009,0.0149972,0.1,,0.170776,8.14239,9.55116,51.8795,,0.0833085,-21,-2.08479,,
8,0,1,0.75,0.380899,0.111019,0.0149972,0.1,0.00014,0.172119,8.47771,9.55648,51.8167,8.1,0.083096,-20.9102,-2.08479,1,1e-06
8,0,10,1,0.381046,0.110818,0.0149972,0.1,,0.165298,8,9.51062,53.5294,,0.0815122,-20.9909,-2.0849,,
8,0,10,0.75,0.381005,0.110876,0.0149972,0.1,0.00014,0.16801,8.37092,9.52608,53.0542,8.1,0.0817487,-20.9034,-2.08487,1,1e-06
8,0,100,1,0.381079,0.110771,0.0149972,0.1,,0.163726,8.39975,9.41136,57.0519,,0.0812054,-20.9545,-2.08493,,
8,0,100,0.75,0.381029,0.110841,0.0149972,0.1,0.00014,0.166831,8.67073,9.45163,55.6961,8.1,0.0815187,-20.8761,-2.08489,1,1e-06
8,0,1000,1,0.380883,0.111047,0.0149972,0.1,,0.17771,9.37148,9.51881,52.42,,0.0820878,-20.6769,-2.08478,,
8,0,1000,0.75,0.380882,0.111048,0.0149972,0.1,0.00014,0.177319,9.39953,9.53222,52.2221,8.1,0.0821804,-20.6679,-2.08477,1,1e-06
9,0,0.1,1,0.381088,0.110783,0.0149972,0.1,,0.163147,8,9.40665,57.0661,,0.0822666,-20.9541,-2.08494,,
9,0,0.1,0.75,0.381086,0.11078,0.0149972,0.1,0.00014,0.163292,8.09994,9.40783,57.0626,8.1,0.0820013,-20.9542,-2.08494,1,1e-06
9,0,1,1,0.381088,0.110767,0.0149972,0.1,,0.162557,8,9.40603,57.0996,,0.0818272,-20.9539,-2.08494,,
9,0,1,0.75,0.381086,0.110768,0.0149972,0.1,0.00014,0.162849,8.09994,9.40736,57.0877,8.1,0.0816717,-20.954,-2.08494,1,1e-06
9,0,10,1,0.382734,0.113252,0.014997,0.1,,0.311035,8.51222,9.41748,57.1453,,0.2,-20.9584,-2.08519,,
9,0,10,0.75,0.382321,0.112632,0.014997,0.1,0.00014,0.274208,8.48411,9.41595,57.122,8.1,0.170301,-20.9574,-2.08513,1,1e-06
9,0,100,1,0.382679,0.112942,0.014997,0.1,,0.310992,8.4085,9.41773,57.0897,,0.2,-20.9538,-2.08524,,
9,0,100,0.75,0.382279,0.112399,0.014997,0.1,0.00014,0.274176,8.40631,9.41614,57.0803,8.1,0.170301,-20.954,-2.08516,1,1e-06
9,0,1000,1,0.381675,0.111699,0.0149971,0.1,,0.312513,8.39617,9.42112,57.0777,,0.2,-20.9532,-2.08503,,
9,0,1000,0.75,0.381526,0.111467,0.0149971,0.1,0.00014,0.275316,8.39706,9.41868,57.0713,8.1,0.170301,-20.9535,-2.08501,1,1e-06
